protected,verified,location,followers_count,following_count,tweet_count,listed_count,has_profile_image,isBot,un_no_of_char,un_special_char,name_no_of_char,name_special_char,des_no_of_usertags,des_no_of_hashtags,des_external_links,has_description,has_url
1,0,1,633,128,27253,10,1,0,13,0,7,0,0,0,0,1,0
0,0,0,26,152,102,0,1,1,15,0,16,0,0,0,0,0,0
0,0,1,384,316,20492,20,1,0,6,0,2,0,0,0,1,1,0
0,0,1,95,63,4342,16,1,0,9,1,7,0,0,0,0,1,1
0,1,1,48951,276,13248,209,1,0,11,0,7,0,0,0,0,1,1
0,0,0,24,164,126,0,1,1,14,0,14,0,0,0,0,1,1
0,0,0,152,0,45854,3,0,0,15,0,15,0,0,0,0,0,0
0,0,1,255,343,13036,5,1,0,9,0,10,0,0,0,0,1,0
0,0,1,144,139,928,8,1,0,14,0,13,0,0,0,0,1,0
0,0,0,1338,656,40620,0,1,0,10,1,10,0,0,0,0,1,1
0,0,1,729,681,26690,22,1,0,11,0,8,0,0,1,0,1,1
0,0,1,124,1065,109,1,1,1,13,0,13,0,0,0,0,1,1
0,0,1,790,1418,9600,21,1,0,12,0,19,0,0,0,0,1,0
0,0,0,5,42,504,0,0,0,7,0,11,0,0,0,0,0,0
0,0,0,101,966,94,0,1,1,13,0,13,0,0,0,0,1,1
0,0,0,25,148,81,0,1,1,13,0,13,0,0,1,0,1,1
0,1,1,150414,450,20143,240,1,1,5,0,5,0,1,0,0,1,1
0,0,0,316,1268,18749,3,1,1,13,0,13,0,0,0,0,1,0
0,0,1,949,1,527242,11,1,0,8,0,9,0,0,0,0,1,1
0,0,0,14,6,0,0,0,0,6,0,9,0,0,0,0,0,0
0,0,1,91,390,6482,0,1,0,8,0,14,0,0,0,0,0,0
1,0,1,56,284,358,3,1,0,7,0,16,0,0,0,0,0,0
0,0,1,1183,1733,5982,28,1,0,14,0,14,0,0,0,0,1,1
0,0,1,251,446,15964,13,1,0,11,0,14,0,0,0,0,1,1
0,0,1,2646,141,5142,99,1,0,10,1,10,0,0,0,0,1,1
1,0,0,502,284,5955,7,1,0,7,0,6,0,0,0,0,0,0
0,0,1,397,628,38633,12,1,0,10,1,11,1,0,0,0,0,0
1,0,0,786,660,38060,4,1,0,6,0,5,0,0,0,0,1,0
0,0,1,444019,461,36657,884,1,0,9,0,5,0,0,0,0,1,1
0,0,0,294,1079,112,1,1,0,9,0,7,0,0,0,0,0,0
0,0,1,585,1639,32076,38,1,0,9,0,15,0,1,4,0,1,0
1,0,1,939,75,45672,1,1,0,11,0,2,0,0,0,0,1,0
0,0,0,72,5,3103,0,0,0,9,0,9,0,0,0,0,0,0
0,0,1,1365,2132,12722,33,1,0,13,0,17,0,0,0,0,1,1
0,0,1,1086,705,98954,11,1,0,10,0,4,0,0,0,0,1,1
0,0,1,494,544,8172,1,1,0,9,0,5,0,0,0,0,1,1
0,0,0,946,40,49808,5,1,0,6,1,1,0,0,0,0,0,0
0,0,0,324,297,43769,11,1,0,5,1,5,0,0,0,0,0,0
0,0,1,2639,3264,26638,129,1,0,15,0,4,0,2,0,0,1,1
0,0,0,23,148,77,0,1,1,10,0,10,0,0,0,0,1,1
0,0,0,151,92,4920,0,1,0,12,0,12,0,0,0,0,1,1
0,0,1,1359,1196,142086,12,1,0,7,0,8,0,0,0,0,1,1
0,0,0,5,5,33,1,0,0,14,0,16,0,0,0,0,0,0
0,0,1,9340,7665,1127,21,1,1,11,0,7,0,0,0,0,1,0
0,0,1,816,398,29076,86,1,0,14,0,22,0,0,0,0,1,1
0,0,0,1123,77,75963,39,1,0,11,0,11,0,0,0,0,0,1
0,0,1,50,272,2263,23,1,0,7,0,3,0,0,0,0,0,0
0,0,1,10,180,44659,81,1,0,8,0,6,0,0,0,0,1,0
0,0,1,60,14,9903,0,1,1,11,1,19,0,0,0,0,1,0
0,0,0,1240,1134,81295,12,1,0,12,0,6,0,0,1,0,1,0
0,0,1,407,0,2362,6,1,0,8,0,8,0,0,0,0,1,0
0,0,1,794,503,105552,5,1,0,7,0,7,0,0,0,0,1,0
0,0,0,530,756,6254,1,1,0,13,0,7,0,0,0,0,1,0
0,0,0,313,216,37856,7,1,0,14,0,11,0,0,0,0,1,0
0,0,0,701,1239,19294,10,1,1,15,0,20,0,0,0,0,1,0
0,0,1,100,89,22490,0,1,0,13,0,14,0,0,0,0,1,1
0,0,0,29,182,120,0,1,1,14,0,14,0,0,0,0,1,1
1,0,0,145,204,5300,2,1,0,14,0,14,0,0,0,0,1,0
0,0,0,112,1001,91,1,1,1,13,0,13,0,0,0,0,1,1
0,0,1,960,66,237732,33,1,0,10,1,9,0,0,0,0,0,0
0,0,1,29,148,78,0,1,1,13,0,13,0,0,0,0,1,1
0,0,0,37,174,108,0,1,1,14,0,14,0,3,3,0,1,1
0,0,0,32,166,101,0,1,1,12,0,12,0,0,0,0,1,1
1,0,1,724,717,68014,0,1,1,9,1,9,0,0,0,0,1,0
0,0,1,6831,3930,104286,948,1,0,9,0,15,0,1,1,0,1,1
0,0,0,82383,82379,75155,3,1,1,11,0,4,0,0,0,0,1,0
1,0,0,219,125,3527,2,1,0,11,1,19,0,0,0,0,0,0
0,1,1,23299,7838,33124,1120,1,0,10,0,16,0,2,0,0,1,1
0,0,1,276,398,2170,13,1,0,11,1,16,0,0,0,0,1,1
0,0,0,81,744,98,0,1,1,11,0,11,0,0,0,0,1,1
0,0,1,2060,2006,2802,11,1,0,15,0,16,0,0,1,0,1,0
0,0,1,795,381,16464,8,1,0,13,0,4,0,0,0,0,1,0
0,0,0,29,161,82,0,1,1,14,0,14,0,0,0,0,1,1
0,0,1,1649,1021,16867,26,1,0,13,0,14,0,0,0,0,1,1
0,0,1,1366,1030,40820,41,1,0,10,0,11,0,0,0,0,1,0
0,0,0,58,169,3150,25,1,1,11,0,11,0,0,0,0,1,1
0,0,0,867,669,20325,5,1,1,8,0,10,0,0,0,0,1,1
1,0,1,268,619,67982,31,1,0,7,0,14,0,0,0,0,1,1
0,0,0,340,624,1054,7,1,0,5,0,2,0,0,0,0,1,0
0,0,1,706,1177,20293,79,1,0,8,1,14,1,0,0,0,1,0
0,0,1,6710,875,219729,101,1,0,10,1,10,0,0,0,1,1,1
0,0,0,88,741,115,1,1,1,13,0,13,0,0,0,0,1,1
0,0,1,339,439,2164,10,1,0,8,0,12,0,0,0,0,1,0
0,0,1,158,375,20600,7,1,0,11,0,13,0,0,0,0,1,0
0,0,1,41,251,55,0,1,0,10,0,13,0,0,0,0,1,0
0,0,1,214,287,21821,2,1,0,10,0,6,0,0,0,0,1,0
0,0,1,198,295,10567,1,1,0,12,0,8,0,0,1,0,1,0
0,0,0,265,699,22201,12,1,0,10,0,13,0,0,0,0,1,0
0,0,0,90,777,74,0,1,1,13,0,13,0,0,1,0,1,1
0,0,1,721,1070,94331,32,1,1,12,0,11,0,0,0,0,1,0
0,0,1,4,19,70,1,1,0,12,0,13,0,0,0,0,1,1
0,0,0,3,2,274,1,1,0,13,0,11,0,0,0,0,0,0
1,0,1,56,0,5167,0,1,0,6,0,4,0,0,0,0,1,1
0,1,1,344385,13039,48877,135,1,0,9,0,14,0,0,0,0,1,1
1,0,0,111,793,20279,11,1,0,13,0,13,0,0,0,0,0,0
0,0,1,1573,1105,9108,30,1,0,12,0,13,0,0,0,0,1,1
0,0,0,10,15,62,0,1,0,15,0,13,0,0,0,0,0,0
0,0,1,40135,84,84528,369,1,0,9,1,6,0,0,0,1,1,1
0,0,1,40,148,127,0,1,1,11,0,11,0,0,5,0,1,1
0,0,1,10218,3611,107596,184,1,0,9,0,25,1,0,0,0,1,0
0,0,0,641,1118,20873,1,1,1,15,0,20,1,0,0,1,1,1
0,1,1,885990,4065,23541,4512,1,0,6,0,6,0,0,0,0,1,1
0,0,1,428,300,21131,19,1,0,11,0,10,0,0,0,0,1,0
1,0,1,355,318,69125,3,1,0,14,0,18,0,0,0,0,1,0
0,0,0,595,161,49243,3,1,0,8,0,1,0,1,0,0,1,1
0,0,0,403,0,35060,11,0,0,5,0,5,0,0,0,0,0,0
1,0,1,5394,1205,546883,728,1,0,11,0,29,1,0,0,0,1,1
0,0,1,1076,1134,24755,6,1,0,14,0,8,0,1,0,0,1,0
0,0,0,35,157,101,0,1,1,11,0,11,0,0,0,0,1,1
0,0,0,51,140,1981,2,1,0,5,0,5,0,0,0,0,1,0
0,0,1,459,367,108564,4,1,0,11,1,12,0,0,0,0,1,0
0,0,1,3223,1949,103441,59,1,0,11,0,16,0,0,5,0,1,1
0,0,1,312,172,20174,19,1,0,8,1,14,0,0,0,0,1,0
0,0,1,482,43,42204,1,0,0,15,0,17,0,0,0,0,0,1
0,0,1,740,342,28151,4,1,0,8,0,14,0,0,0,0,1,0
0,0,1,343,30,47772,7,1,0,11,0,11,0,0,0,0,0,1
0,0,1,10,36,116,0,1,0,14,0,13,0,0,0,0,0,0
0,0,0,136,76,8091,4,1,0,10,0,3,0,0,0,0,1,0
0,0,0,37,162,108,1,1,1,10,0,10,0,0,1,0,1,1
0,0,0,31,150,2620,1,1,0,12,1,11,0,0,0,0,0,0
0,0,0,35,148,109,1,1,1,14,0,14,0,0,0,0,1,1
0,0,1,123,998,86,0,1,1,14,0,14,0,0,0,0,1,1
0,0,0,30,176,122,0,1,1,11,0,11,0,0,0,0,1,1
0,0,1,1387,12,121369,164,1,0,12,0,12,0,1,0,0,1,1
0,0,1,86,233,4321,4,1,0,6,0,14,0,0,0,0,1,1
0,0,1,32612,43262,3057,242,1,0,14,0,19,0,0,0,0,1,1
0,0,1,88387,44009,441867,1561,1,1,7,0,35,0,0,1,0,1,1
1,0,1,393,361,65105,1,1,0,6,1,13,0,0,0,0,1,1
1,0,1,34750,510,3456,740,1,0,9,0,18,0,0,0,0,1,0
0,0,1,3519,1497,35160,23,1,0,12,0,16,0,0,0,0,1,0
0,0,1,1707640,85,43009,3077,1,1,15,0,16,0,0,0,0,1,1
0,0,0,36,155,85,0,1,1,13,0,13,0,0,4,0,1,1
0,0,0,344,405,22543,0,1,1,13,0,17,0,0,0,0,1,0
0,0,1,5261,1197,176665,444,1,0,8,1,9,1,0,0,0,0,1
0,0,1,618,776,15284,8,1,0,11,0,8,0,0,0,0,1,1
0,0,1,755,1840,32408,36,1,0,13,0,20,0,0,0,0,1,1
0,0,1,22614,14410,155939,1450,1,0,15,0,9,0,0,1,1,1,1
0,0,0,425,392,32322,28,1,0,9,0,9,0,0,0,1,1,1
0,0,1,2093,1032,928,26,1,0,13,0,46,0,0,0,0,1,1
0,1,1,20521614,1086,401138,128603,1,1,3,0,23,0,0,0,1,1,1
0,0,1,2281,65,183402,1,1,0,10,0,10,0,0,0,0,1,0
0,0,1,2351,88,2386,51,1,0,12,0,8,0,0,0,0,1,1
0,0,1,5380,4457,45589,481,1,0,11,0,20,1,0,0,0,1,1
0,0,0,299,1963,7094,0,1,0,10,0,14,0,0,0,0,1,1
0,0,1,47,62,5826,1,1,0,9,0,4,0,0,0,0,1,1
0,0,1,339,387,17299,29,1,0,8,0,7,0,0,0,0,1,0
1,0,1,301,203,10686,131,1,0,7,0,32,1,0,0,0,1,0
1,0,1,2851,3227,64347,161,1,0,14,0,6,0,0,6,0,1,1
0,0,1,82,663,1041,6,1,0,9,0,10,0,0,0,0,1,0
0,0,1,73,401,102,0,1,1,14,0,14,0,0,0,0,1,1
0,0,1,641,453,89651,51,1,0,11,0,5,0,0,0,0,1,0
0,0,0,28,366,12,0,1,1,12,0,11,0,0,0,0,0,0
0,0,1,1269,366,2692,60,1,0,8,0,22,1,0,0,1,1,0
0,0,0,26,145,125,0,1,1,14,0,14,0,0,0,0,1,1
0,0,1,2670,2967,335856,146,1,0,9,1,19,0,0,0,0,1,1
0,0,0,16176,15765,2790,33,1,1,15,0,16,0,0,0,0,1,0
1,0,1,452,234,11424,6,1,0,14,0,13,0,0,0,0,1,0
0,0,0,110,982,154,1,1,1,11,0,11,0,1,0,0,1,1
0,1,1,117750,1240,35423,843,1,0,12,0,12,0,0,0,0,0,0
1,0,1,42,44,4338,0,1,0,5,1,7,0,0,0,0,0,0
0,0,1,786,269,63231,8,1,0,11,1,2,0,0,0,0,1,1
0,0,0,21,171,102,0,1,1,11,0,11,0,0,6,0,1,1
1,0,1,609,269,5742,24,1,0,14,0,14,0,3,0,0,1,0
1,0,1,1329,29,1218283,2335,1,1,15,1,15,0,0,0,0,1,1
0,0,1,2529,133,1144,52,1,0,13,0,13,0,0,0,0,1,1
0,0,0,38,186,125,0,1,1,13,0,13,0,0,0,0,1,1
0,0,1,415,305,59408,5,1,0,5,1,11,0,0,0,0,1,1
0,0,1,890,724,48845,19,1,0,8,0,9,0,0,0,0,1,0
0,0,1,740,1033,7191,62,1,0,6,0,6,0,0,0,0,0,0
0,0,1,33,178,110,0,1,1,13,0,13,0,0,1,0,1,1
1,0,1,385,299,50657,23,1,0,14,1,10,1,0,0,0,1,0
0,0,1,12073,13275,32476,178,1,0,8,0,15,0,2,14,1,1,1
0,0,0,192,348,9917,2,1,0,9,0,10,0,0,0,0,0,0
0,0,0,444,230,39667,1,1,0,7,0,16,0,0,0,0,1,0
0,0,1,456,789,995,33,1,0,12,0,12,0,0,0,0,1,1
1,0,1,101,153,8,15,1,0,9,0,2,0,0,0,0,1,0
1,0,0,86,112,6888,1,1,0,7,1,6,0,0,0,0,0,0
1,0,0,1205,800,6381,1,1,0,9,0,5,0,0,0,0,1,0
1,0,1,182,126,6076,0,1,0,8,0,6,0,0,0,0,0,0
0,1,1,329150,783,61657,520,1,0,13,0,14,0,0,0,0,1,1
1,0,0,6,35,112,0,1,0,9,0,13,0,0,0,0,0,0
0,0,0,527,1396,25185,5,1,1,13,0,13,0,0,0,0,1,0
0,0,0,113,163,3258,1,1,1,12,0,13,0,0,0,0,0,0
0,0,1,37,200,135,0,1,1,13,0,13,0,1,0,0,1,1
0,0,1,614,1283,6994,0,1,0,7,0,11,0,1,2,0,1,1
0,0,1,3049,4199,240904,155,1,0,13,0,33,1,0,0,0,1,1
0,0,1,237,286,10036,17,1,0,15,0,15,0,0,0,0,0,0
0,0,0,15,0,140,0,1,1,8,0,16,0,0,0,1,1,0
0,0,0,761,851,21596,5,1,1,11,0,13,0,0,0,0,1,0
0,0,1,122,44,520,5,1,0,7,0,4,0,0,0,0,1,0
0,0,1,421,466,26779,4,1,0,14,0,14,0,0,0,0,1,1
0,0,1,325,331,26953,1,1,0,7,0,26,0,0,0,0,0,0
0,0,1,154,0,1709,0,1,1,13,1,10,0,2,0,0,1,0
0,0,1,1098,1781,6727,56,1,0,12,0,29,1,0,0,0,1,1
0,0,1,329,1032,5307,11,1,0,13,0,14,0,0,0,0,1,0
1,0,1,1028,788,36830,2,1,0,9,0,5,0,0,0,0,1,1
0,0,1,27,167,113,0,1,1,14,0,14,0,0,0,0,1,1
0,0,0,26,0,187,0,1,1,8,0,16,0,0,0,0,1,0
0,0,1,417,152,22936,5,1,0,11,0,7,0,0,0,0,1,0
0,0,1,3887,4979,18658,390,1,0,11,1,8,0,0,0,0,1,1
0,1,1,202838,131,86776,561,1,0,11,0,12,0,0,1,0,1,1
1,0,1,865,644,96728,57,1,0,4,0,1,0,0,0,0,1,1
0,0,0,828,1362,19800,1,1,1,13,0,12,0,0,0,0,1,1
0,0,0,1,0,38,0,0,1,8,0,14,0,0,0,0,0,0
0,0,0,82,500,89,0,1,1,11,0,12,0,0,0,0,0,0
0,0,0,71801,23,146911,99,1,0,10,0,4,0,0,0,0,1,0
1,0,1,415,216,56489,19,1,0,10,1,10,0,1,0,0,1,0
0,0,1,13839,1561,16431,424,1,0,11,0,12,0,1,0,0,1,1
0,0,1,1013,903,27128,2,1,0,13,0,16,0,0,0,0,1,1
0,0,1,9612,7972,50083,97,1,0,15,0,17,0,0,1,0,1,1
1,0,0,308,81,25922,1,1,0,13,0,6,0,0,0,0,1,0
0,0,0,25,0,1243,0,1,0,9,0,10,0,0,0,0,0,0
1,0,1,1,238,7550,0,1,0,9,0,2,0,0,0,0,1,0
0,0,1,2714,754,17417,62,1,0,9,0,15,0,1,0,0,1,1
0,0,0,918,1499,62736,13,1,0,13,1,6,1,0,0,0,1,0
0,0,0,546,937,6365,0,1,0,14,0,5,0,0,1,0,1,0
0,0,1,690,184,1174,22,1,0,14,1,19,1,0,0,1,1,1
0,0,0,139,1236,102,1,1,1,14,0,14,0,0,1,0,1,1
0,0,0,76,611,114,0,1,1,10,0,10,0,0,0,0,1,1
0,0,1,5492,540,47462,94,1,0,11,0,12,0,0,0,0,1,1
0,1,0,902796,1142,39965,2650,1,0,12,1,12,0,0,0,0,1,1
1,0,1,1338,377,56184,4,1,0,9,0,4,0,1,0,0,1,1
0,0,0,20,22,141344,0,0,0,12,0,12,0,0,0,0,0,0
0,0,1,7827,2048,78373,184,1,0,13,1,13,0,0,0,0,1,1
0,0,1,20747,23471,47033,949,1,0,11,0,12,0,0,0,0,1,0
0,0,0,719,662,26503,8,1,0,10,0,6,0,0,1,0,1,0
0,0,0,37,137,108,0,1,1,14,0,14,0,0,1,0,1,1
0,0,1,533,607,30893,6,1,1,10,0,16,0,0,0,0,1,0
1,0,0,0,0,14,0,1,0,11,0,10,0,0,0,0,1,0
0,0,1,118,55,1960,14,1,0,6,1,7,0,0,0,0,1,0
0,1,1,985,1768,14555,29,1,0,11,0,15,0,0,0,0,1,0
0,0,0,97,699,95,0,1,1,12,0,12,0,0,0,0,1,1
0,0,0,889,310,14069,34,1,0,9,1,5,0,0,0,0,1,1
1,0,1,63,0,1454,1,1,0,12,0,6,0,0,0,0,1,0
0,0,0,96,899,81,0,1,1,9,0,9,0,0,0,0,1,1
0,0,1,286,663,1502,3,1,0,9,0,10,0,0,0,0,1,0
0,0,0,52,148,92,0,1,1,13,0,13,0,0,0,0,1,1
1,0,1,355,323,73631,0,1,0,10,0,2,0,0,0,0,1,0
0,0,1,113,1031,111,0,1,1,11,0,11,0,0,0,0,1,1
0,0,1,28,146,134,0,1,1,15,0,15,0,0,0,0,1,1
0,0,1,221,230,18779,3,1,0,7,1,5,0,0,0,0,1,0
1,0,1,35,59,37731,0,1,0,6,0,7,1,0,0,0,1,0
0,0,0,125,901,109,1,1,1,15,0,15,0,0,0,0,1,1
0,0,1,21,157,104,1,1,1,11,0,11,0,0,4,0,1,1
0,0,0,689,1194,21424,6,1,1,12,0,13,0,0,0,1,1,1
0,0,1,244,413,10322,1,1,0,7,0,18,0,0,0,0,1,0
0,0,1,5871,1109,28202,52,1,0,15,1,5,0,0,0,0,1,0
0,0,0,33884,2774,239099,318,1,0,15,1,3,0,1,0,0,1,0
0,0,1,452,286,99,8,0,0,10,0,5,0,0,0,0,0,0
0,0,1,34,67,1830,0,1,0,8,0,11,0,0,0,0,1,0
0,0,1,106,48,508,4,1,0,14,1,18,0,0,0,0,1,0
0,1,1,212643,478,213428,1489,1,1,10,0,16,0,0,0,0,1,1
0,0,0,86,823,93,0,1,1,15,0,15,0,0,0,0,1,1
0,0,1,1904,1360,55262,71,1,0,7,0,14,0,3,0,0,1,1
0,0,1,622,305,55800,4,1,0,13,0,14,0,0,0,0,1,0
0,0,0,174194,2,63680,2113,1,1,12,1,12,0,0,0,1,1,1
0,0,1,928,810,118597,36,1,0,13,0,3,0,0,0,0,1,1
0,0,1,1264,843,6669,90,1,0,10,0,12,0,0,0,0,1,0
0,0,1,311,203,26859,2,1,0,6,1,13,1,0,0,0,0,0
0,0,1,105,0,588,3,1,0,14,0,19,0,0,0,0,0,1
0,0,0,655,1528,21120,6,1,1,12,0,10,0,0,0,0,1,1
1,0,1,495,219,15181,9,1,0,7,0,20,0,0,0,0,1,1
0,0,1,108,435,6330,4,1,0,10,1,10,0,0,0,0,1,0
0,0,0,17,168,93,0,1,1,12,0,12,0,0,0,0,1,1
0,0,1,2214,289,148939,61,1,0,13,1,23,0,0,0,0,1,1
0,0,0,111,840,103,0,1,1,14,0,15,0,0,0,0,0,0
0,0,0,42,0,3901,2,1,0,15,0,8,0,0,0,0,0,0
0,0,0,22,146,94,3,1,1,13,0,13,0,0,0,0,1,1
0,1,1,32488,190,14675,58,1,1,9,0,4,0,0,0,0,1,1
0,0,0,673,251,7148,1,1,0,8,0,19,0,0,0,0,1,0
0,0,1,1904,1097,190618,34,1,0,9,0,14,0,0,2,0,1,0
0,0,0,1455,1421,22016,88,1,0,15,0,19,0,1,0,1,1,0
0,0,1,649,68,28145,30,1,0,9,0,6,0,0,0,0,1,0
0,0,0,30,149,86,0,1,1,14,0,14,0,0,2,0,1,1
0,0,1,31,91,13972,3,1,0,13,0,11,0,0,0,0,1,0
1,0,0,124,124,25691,0,1,0,8,1,5,0,0,0,0,1,1
0,0,0,111,867,91,1,1,1,9,0,9,0,0,0,0,1,1
0,1,1,5242,2627,25914,41,1,0,11,0,12,0,1,0,0,1,0
0,0,0,82,648,388,1,1,1,8,0,8,0,0,0,0,0,0
0,0,0,2,0,70,0,0,0,11,0,14,0,0,0,0,0,0
0,0,1,752,2047,6947,35,1,0,13,0,16,0,2,0,0,1,1
0,1,1,18757,3239,85844,138,1,0,15,0,17,0,1,0,0,1,1
0,0,1,1426,940,28832,1,1,1,5,0,7,0,0,0,0,1,0
0,0,1,2308,681,16982,83,1,0,8,0,5,0,0,0,0,1,1
1,0,1,457,238,28712,3,1,0,9,0,4,0,0,0,0,0,0
0,0,1,374,388,15885,2,1,0,10,0,10,0,0,0,0,1,1
0,1,1,1513040,562,53117,2765,1,0,15,1,15,0,0,0,0,1,1
0,0,0,24,151,114,0,1,1,13,0,13,0,0,1,0,1,1
1,0,1,221,317,10806,0,1,0,11,1,15,0,0,0,0,1,1
0,0,1,15188,2009,1459,16,1,1,15,0,19,0,0,0,0,1,1
0,0,1,2026,913,16295,19,1,0,11,0,18,0,0,0,0,1,0
1,0,1,3074,781,22531,1040,1,0,15,0,4,0,0,0,0,1,1
0,0,1,371,1071,41637,18,1,0,10,0,18,0,3,1,0,1,1
0,0,0,34,158,117,0,1,1,14,0,14,0,0,3,0,1,1
0,0,0,716,1324,20106,2,1,1,13,0,12,0,0,0,0,1,0
0,0,1,37,282,95,0,1,1,12,0,8,0,0,0,0,1,0
0,0,0,92,0,145,0,1,1,9,0,9,0,0,0,0,1,1
0,1,0,134773,1506,31790,1412,1,0,13,0,14,0,2,0,0,1,0
0,0,0,2873,3733,4168,203,1,0,7,0,12,0,1,1,0,1,1
0,1,0,94725,169,5771,201,1,0,12,0,7,0,0,0,0,1,1
0,0,1,136,84,3520,3,1,0,11,0,17,0,0,0,0,1,1
0,0,0,111,1141,76,1,1,1,12,0,12,0,0,0,0,1,1
0,0,0,32,157,134,0,1,1,10,0,10,0,0,0,0,1,1
0,1,1,23727,8123,143378,288,1,0,12,0,13,0,2,0,0,1,1
0,0,1,123,0,4004,0,1,0,13,0,12,0,0,0,0,0,0
0,0,0,98,353,178,0,1,1,13,0,13,0,0,2,0,1,1
1,0,1,939,438,99193,4,1,0,11,1,1,0,0,0,0,1,0
0,0,0,459,219,61957,21,1,0,9,0,6,0,0,0,0,1,0
0,0,0,3089,1348,83821,91,1,0,14,1,7,0,0,0,0,1,0
0,0,0,28,188,131,0,1,1,15,0,15,0,0,0,0,1,1
0,0,0,2892,1986,103992,118,1,0,7,0,3,0,0,0,0,0,0
0,0,1,2994,569,12328,182,1,0,14,0,15,0,0,0,0,1,1
0,0,1,384,739,12801,15,1,0,8,0,5,0,0,0,0,1,1
0,0,0,29,160,101,0,1,1,12,0,13,0,0,0,0,0,0
0,0,1,1158,304,53411,16,1,0,12,0,6,0,0,0,0,1,0
0,0,0,27,157,110,0,1,1,8,0,8,0,0,0,0,1,1
0,1,1,244802,125,165207,538,1,1,8,0,9,0,0,2,0,1,1
0,0,1,28,170,124,0,1,1,12,0,12,0,0,0,0,1,1
0,0,1,31,180,129,0,1,1,15,0,15,0,0,0,0,1,1
0,0,1,1688,991,73403,12,1,0,13,0,12,0,0,0,0,1,0
0,0,0,36,57,1573,0,1,0,10,1,16,0,0,0,0,0,0
0,0,0,205,260,94,8,1,0,9,0,10,0,0,0,0,0,0
0,0,1,78,177,3310,6,1,0,15,1,7,0,0,0,0,1,0
0,0,1,683,883,4594,31,1,0,9,0,16,0,0,0,0,1,0
