UserID,CreatedAt,CollectedAt,NumerOfFollowings,NumberOfFollowers,NumberOfTweets,LengthOfScreenName,LengthOfDescriptionInUserProfile 
2304641,26/3/07 9:16,20/11/09 3:58,91,89,420,11,43
2394771,26/3/07 21:48,14/11/09 19:44,229,129,2380,11,160
2400461,26/3/07 23:01,22/11/09 13:27,35,52,330,8,0
2505051,27/3/07 10:09,20/11/09 9:03,90,81,214,10,44
2558991,27/3/07 16:07,23/11/09 16:37,1114,1929,11672,12,155
2681441,28/3/07 11:01,18/11/09 18:13,467,834,12830,8,83
2711581,28/3/07 14:40,20/11/09 4:55,399,496,5744,8,36
2714811,28/3/07 15:09,17/11/09 6:01,7,131,9089,9,40
2728891,28/3/07 16:39,18/11/09 23:22,0,136,3210,3,0
2809821,29/3/07 3:22,15/11/09 9:19,1532,1568,4035,7,107
2846581,29/3/07 9:59,12/11/09 21:21,263,260,10707,5,104
2871341,29/3/07 13:03,16/11/09 18:01,76,83,2955,12,28
2889981,29/3/07 15:32,17/11/09 4:30,308,454,10846,7,0
2899671,29/3/07 16:58,16/11/09 16:02,332,527,22150,12,153
2933131,29/3/07 23:03,14/11/09 1:44,149,1123,14585,12,49
2986671,30/3/07 11:07,21/11/09 1:37,129,2005,6912,5,37
3038091,30/3/07 23:25,15/11/09 23:48,92,42,948,8,0
3053791,31/3/07 5:33,14/11/09 3:14,299,539,11934,6,131
3111701,1/4/07 3:14,13/11/09 2:48,290,685,6453,13,75
3132381,1/4/07 10:31,18/11/09 2:35,31,116,160,6,0
3242681,2/4/07 14:37,26/11/09 5:28,45,161,4862,10,0
3253691,2/4/07 16:47,19/11/09 10:38,36,48,255,10,0
3262371,2/4/07 18:27,26/11/09 20:55,285,351,1869,15,37
3279441,2/4/07 22:05,25/11/09 23:22,4581,5719,50419,7,71
3297261,3/4/07 2:48,18/11/09 15:16,508,936,19759,7,160
3362741,3/4/07 16:18,22/11/09 11:44,416,13134,8013,7,49
3366641,3/4/07 17:14,14/11/09 4:49,3776,5710,7385,4,91
3374861,3/4/07 18:57,26/11/09 1:24,206,180,1462,6,0
3397081,4/4/07 0:50,24/11/09 11:28,189,269,12532,8,100
3398061,4/4/07 1:08,25/11/09 20:19,501,849,22207,9,40
3407301,4/4/07 4:13,22/11/09 5:06,93,1577,2534,6,72
3447831,4/4/07 13:27,25/11/09 16:18,895,1074,20537,11,78
3459631,4/4/07 15:34,13/11/09 4:13,154,649,14132,10,140
3468931,4/4/07 17:57,26/11/09 19:27,157,123,4158,10,71
3488401,4/4/07 22:56,15/11/09 3:30,307,333,8947,8,39
3489451,4/4/07 23:14,17/11/09 22:05,687,782,476,12,154
3490891,4/4/07 23:37,20/11/09 0:54,296,608,18918,7,37
3491311,4/4/07 23:45,22/11/09 15:18,678,578,3950,9,0
3550071,5/4/07 14:17,19/11/09 4:35,126,110,3985,10,24
3557911,5/4/07 16:02,24/11/09 5:57,463,1355,86126,6,8
3602891,6/4/07 3:31,16/11/09 22:25,960,2604,26638,10,67
3605471,6/4/07 4:14,13/11/09 1:56,271,737,22191,12,17
3647561,6/4/07 14:12,22/11/09 23:10,47,48,387,7,53
3655401,6/4/07 16:05,28/11/09 20:45,67,52,1497,6,71
3671881,6/4/07 21:07,21/11/09 23:13,44,87,655,11,0
3720101,7/4/07 11:36,12/11/09 23:45,1371,923,1306,5,32
3763171,8/4/07 0:28,12/11/09 17:52,521,519,12021,7,9
3765871,8/4/07 1:18,29/11/09 7:11,77,1889,4596,7,21
3789291,8/4/07 8:41,16/11/09 11:00,1344,5874,30783,10,59
3817911,8/4/07 15:35,25/11/09 6:31,633,1296,102623,6,129
3828311,8/4/07 18:18,18/11/09 22:39,304,336,2216,6,32
3833041,8/4/07 19:26,14/11/09 20:47,181,370,4735,8,19
3833671,8/4/07 19:35,29/11/09 6:09,251,513,17210,8,39
3836781,8/4/07 20:04,13/11/09 4:22,661,705,4437,5,74
3841961,8/4/07 20:59,16/11/09 10:02,278,1487,48258,14,110
3846181,8/4/07 21:41,23/11/09 1:09,33,34,281,7,6
3853071,8/4/07 22:49,24/11/09 8:51,1436,1645,34044,6,35
3895231,9/4/07 7:20,17/11/09 6:42,166,502,17612,4,12
3916251,9/4/07 10:46,13/11/09 23:54,950,1003,6705,7,93
3925681,9/4/07 12:25,16/11/09 4:58,357,473,1733,13,0
3935601,9/4/07 14:28,18/11/09 21:56,654,2115,1498,10,60
3975731,9/4/07 22:24,19/11/09 7:50,212,527,12591,3,135
3989301,10/4/07 0:58,16/11/09 3:54,681,683,6707,6,0
3996841,10/4/07 2:31,22/11/09 0:47,166,281,2977,7,0
4007851,10/4/07 4:39,16/11/09 11:55,212,176,1039,8,42
4033821,10/4/07 9:04,29/11/09 1:52,183,195,9584,6,46
4053431,10/4/07 11:48,22/11/09 6:20,1523,1361,16831,6,91
4053671,10/4/07 11:51,15/11/09 11:05,1916,1279,846,13,118
4089361,10/4/07 17:51,23/11/09 5:36,41,216,554,14,22
4116961,10/4/07 22:25,23/11/09 6:07,922,964,9291,9,75
4122211,10/4/07 23:14,13/11/09 6:42,98,76,801,3,27
4122711,10/4/07 23:18,26/11/09 22:11,264,318,2519,6,0
4125691,10/4/07 23:49,17/11/09 3:27,2503,2399,26416,6,32
4128651,11/4/07 0:24,21/11/09 1:07,77,71,1909,8,63
4148811,11/4/07 4:19,20/11/09 1:51,1830,2198,8232,11,159
4183941,11/4/07 9:13,24/11/09 2:06,83,128,3282,7,18
4202781,11/4/07 11:12,19/11/09 21:31,375,4329,10867,4,7
4209621,11/4/07 11:56,24/11/09 22:22,129,202,2066,9,47
4278021,11/4/07 20:43,15/11/09 2:09,321,168,1574,5,18
4278261,11/4/07 20:45,18/11/09 7:00,935,893,50086,6,39
4285561,11/4/07 21:44,14/11/09 17:16,156,510,5855,8,61
4324361,12/4/07 3:42,20/11/09 4:33,1066,1430,4327,15,146
4395531,12/4/07 14:17,22/11/09 21:44,88,715,16706,5,23
4449901,12/4/07 23:03,26/11/09 8:22,112,927,131,7,15
4460521,13/4/07 1:06,15/11/09 21:07,147,164,11524,5,27
4472691,13/4/07 3:39,29/11/09 2:32,202,305,1098,6,60
4518221,13/4/07 11:47,25/11/09 22:56,124,69,113,3,0
4582231,14/4/07 2:52,27/11/09 16:14,80,4274,650,9,47
4591161,14/4/07 5:48,27/11/09 4:52,505,1459,4153,8,139
4666751,14/4/07 23:40,16/11/09 3:04,1979,1886,7615,6,72
4685731,15/4/07 2:04,18/11/09 21:41,733,488,3132,8,108
4734821,15/4/07 5:24,27/11/09 1:40,69,102,1761,4,0
4751011,15/4/07 7:24,15/11/09 9:05,227,982,11479,11,28
4757711,15/4/07 8:40,16/11/09 8:20,6,59,13386,10,50
4795431,15/4/07 15:52,16/11/09 19:46,392,602,4157,11,99
4824301,15/4/07 22:34,17/11/09 23:10,320,949,30260,14,96
4846681,16/4/07 2:58,17/11/09 21:51,31,59,1336,3,0
4880631,16/4/07 9:16,27/11/09 21:00,776,677,4567,15,53
4886711,16/4/07 10:07,23/11/09 0:31,304,253,10169,7,9
4954951,16/4/07 23:45,18/11/09 9:56,720,665,10463,7,74
4964701,17/4/07 2:13,18/11/09 11:57,165,122,1933,5,86
4982241,17/4/07 5:44,21/11/09 3:47,64,85,700,8,24
5023711,17/4/07 12:54,19/11/09 8:43,240,315,2131,12,132
5045711,17/4/07 17:22,14/11/09 4:42,379,283,4694,7,39
5091661,18/4/07 3:12,19/11/09 3:29,1119,3950,7559,12,159
5118831,18/4/07 8:43,20/11/09 8:54,12,18,657,10,0
5134611,18/4/07 11:14,18/11/09 23:12,8,4,646,5,12
5139931,18/4/07 12:24,27/11/09 8:36,416,876,7646,6,141
5141351,18/4/07 12:46,20/11/09 19:46,47,77,5693,7,8
5187721,18/4/07 23:36,24/11/09 20:59,929,921,58400,3,108
5191161,19/4/07 0:25,16/11/09 20:41,206,241,1207,6,34
5201111,19/4/07 2:50,19/11/09 2:24,113,153,9573,9,0
5209331,19/4/07 4:53,20/11/09 7:35,210,118,587,3,102
5227861,19/4/07 8:32,27/11/09 4:44,101,94,1719,10,159
5244591,19/4/07 11:20,18/11/09 5:12,486,858,17087,7,22
5263621,19/4/07 15:24,21/11/09 0:49,182,190,1943,6,55
5328932,20/4/07 9:28,15/11/09 7:59,68,83,2445,8,54
5349212,20/4/07 13:43,13/11/09 16:10,237,560,19601,14,158
5379892,21/4/07 9:05,28/11/09 23:35,162,132,1331,8,13
5389302,21/4/07 20:16,26/11/09 20:17,92,120,1029,14,121
5399062,22/4/07 7:36,21/11/09 23:39,46,67,813,5,11
5402962,22/4/07 9:54,23/11/09 7:16,184,221,1532,7,125
5417072,22/4/07 20:44,13/11/09 9:11,223,64,289,6,0
5425682,23/4/07 3:09,18/11/09 4:14,20,89,6468,6,9
5427932,23/4/07 5:09,19/11/09 4:01,56,126,4910,6,0
5429672,23/4/07 6:42,21/11/09 6:15,124,190,8997,3,21
5429772,23/4/07 6:47,18/11/09 16:57,1991,2140,53203,8,47
5460902,24/4/07 5:58,13/11/09 6:19,158,450,4923,7,62
5482092,24/4/07 19:08,29/11/09 7:12,112,2327,5731,5,14
5486552,24/4/07 22:48,13/11/09 3:17,546,492,4308,6,124
5487312,24/4/07 23:28,14/11/09 3:39,307,293,11106,5,16
5490362,25/4/07 2:25,13/11/09 7:28,20,34,740,8,12
5499142,25/4/07 9:35,20/11/09 13:17,797,1036,4509,12,150
5500602,25/4/07 10:24,21/11/09 21:17,289,316,26164,7,53
5509072,25/4/07 16:28,20/11/09 17:56,120,225,2679,8,70
5509342,25/4/07 16:40,21/11/09 18:55,40,57,207,7,81
5513162,25/4/07 20:20,18/11/09 3:29,115,137,5877,4,11
5513932,25/4/07 20:51,14/11/09 0:28,418,784,9183,3,39
5525392,26/4/07 6:54,27/11/09 18:12,391,770,5558,5,24
5531742,26/4/07 10:59,25/11/09 16:18,203,317,3914,10,11
5532382,26/4/07 11:30,13/11/09 17:57,315,276,6284,7,113
5536782,26/4/07 14:33,23/11/09 1:01,4,2698,36750,8,0
5545012,26/4/07 23:34,27/11/09 4:11,5816,6173,7063,10,116
5545702,27/4/07 0:28,15/11/09 8:26,610,357,2797,6,42
5550822,27/4/07 6:20,18/11/09 8:02,277,346,1554,9,36
5577562,27/4/07 23:59,27/11/09 19:32,1530,1621,13367,6,10
5578132,28/4/07 0:34,23/11/09 17:28,62,185,7595,7,31
5585092,28/4/07 6:18,21/11/09 20:09,58,267,11482,6,14
5588942,28/4/07 7:05,23/11/09 1:19,1019,839,15127,4,146
5594012,28/4/07 8:27,21/11/09 6:41,19,15,65,7,0
5610822,28/4/07 14:44,19/11/09 23:14,210,476,3656,8,91
5627462,29/4/07 4:04,19/11/09 4:54,416,418,24597,7,125
5641112,29/4/07 20:08,15/11/09 3:34,1992,2120,57491,4,33
5641272,29/4/07 20:26,13/11/09 10:10,396,439,2612,8,30
5644032,29/4/07 22:55,15/11/09 12:45,373,355,12743,7,60
5647512,30/4/07 3:45,23/11/09 4:50,27,54,134,4,0
5653012,30/4/07 8:22,19/11/09 3:13,117,1342,4114,9,35
5656352,30/4/07 10:12,26/11/09 6:27,82,107,2589,6,60
5663072,30/4/07 14:07,20/11/09 7:41,67,76,1503,7,6
5663862,30/4/07 14:49,26/11/09 1:36,438,539,1527,7,8
5664172,30/4/07 15:01,14/11/09 2:01,485,271,1659,15,0
5665282,30/4/07 15:43,22/11/09 20:19,198,493,8941,6,46
5671412,30/4/07 20:57,15/11/09 2:49,91,113,3366,6,44
5684902,1/5/07 8:26,25/11/09 23:06,220,267,9879,8,41
5697432,1/5/07 18:15,27/11/09 12:27,49,45,242,12,11
5728412,2/5/07 20:36,25/11/09 4:38,69,108,7126,14,37
5729002,2/5/07 21:10,16/11/09 1:17,13,147,1494,8,16
5729562,2/5/07 21:40,20/11/09 6:53,302,836,12968,14,57
5734332,3/5/07 3:11,23/11/09 3:20,26,98,258,13,0
5738922,3/5/07 7:54,26/11/09 4:52,473,308,3674,5,23
5740652,3/5/07 9:09,22/11/09 14:11,1266,1427,12721,13,155
5744412,3/5/07 11:08,29/11/09 1:32,662,529,8894,9,125
5745962,3/5/07 12:13,16/11/09 3:53,72,97,356,8,0
5748172,3/5/07 13:42,13/11/09 1:21,71,149,171,7,31
5753182,3/5/07 18:11,16/11/09 8:59,195,976,781,7,33
5764612,4/5/07 7:15,25/11/09 13:19,91,341,381,9,76
5765312,4/5/07 8:02,15/11/09 5:55,450,404,15239,8,12
5768612,4/5/07 10:23,25/11/09 6:21,223,780,953,9,0
5777162,4/5/07 17:46,15/11/09 12:52,308,378,5652,11,27
5787782,5/5/07 7:22,22/11/09 17:18,6213,6135,3974,9,72
5797332,5/5/07 19:10,26/11/09 16:38,330,491,3581,6,73
5801992,6/5/07 0:55,20/11/09 10:49,525,830,8904,10,53
5804942,6/5/07 4:56,16/11/09 5:28,462,4352,15148,7,74
5806522,6/5/07 6:41,20/11/09 5:47,526,575,610,7,44
5827042,7/5/07 3:35,21/11/09 8:19,38,50,1137,11,41
5828452,7/5/07 4:51,17/11/09 7:27,144,179,2857,6,9
5846312,7/5/07 17:57,16/11/09 7:52,323,516,7325,7,104
5847982,7/5/07 19:15,13/11/09 7:16,166,578,8435,7,76
5849872,7/5/07 20:41,14/11/09 8:07,163,222,15105,7,83
5864942,8/5/07 9:31,23/11/09 3:08,143,140,2916,8,22
5867462,8/5/07 10:49,25/11/09 0:48,392,396,11025,8,156
5869912,8/5/07 12:18,20/11/09 7:07,129,200,6462,6,42
5891862,9/5/07 3:25,18/11/09 0:13,50,46,87,8,0
5912112,9/5/07 16:35,28/11/09 22:44,96,6842,13887,4,56
5912372,9/5/07 16:49,25/11/09 13:49,0,699,48957,4,22
5924492,10/5/07 2:42,20/11/09 13:39,0,917,6286,5,0
5927882,10/5/07 7:17,15/11/09 0:16,82,138,4746,7,0
5931162,10/5/07 9:23,23/11/09 6:09,1835,1376,3284,9,137
5937312,10/5/07 13:46,20/11/09 4:22,9524,9955,24538,7,158
5942122,10/5/07 17:19,15/11/09 9:44,111,82,505,8,0
5945472,10/5/07 20:12,17/11/09 20:09,156,223,2134,10,54
5947912,10/5/07 22:08,19/11/09 11:28,52,37,730,7,32
5958822,11/5/07 6:46,15/11/09 17:10,33,47,969,9,0
5965172,11/5/07 10:29,13/11/09 6:41,127,148,8403,7,3
5975342,11/5/07 17:15,21/11/09 13:23,478,291,7036,11,37
5980092,11/5/07 22:31,14/11/09 8:59,24,72,7497,8,159
5982032,12/5/07 0:43,15/11/09 6:54,262,268,3278,14,147
5995592,12/5/07 15:42,21/11/09 11:10,151,110,3336,11,131
6000292,12/5/07 21:19,22/11/09 3:00,76,44,961,6,0
6002482,12/5/07 23:44,19/11/09 7:24,13,48,953,14,21
6004162,13/5/07 2:09,14/11/09 8:01,19,41,34,5,0
6008762,13/5/07 8:16,17/11/09 9:43,154,177,1460,7,0
6009722,13/5/07 9:15,18/11/09 5:49,37,68,2210,5,12
6022342,13/5/07 22:59,29/11/09 6:57,427,117,477,6,0
6041432,14/5/07 14:28,23/11/09 23:05,2001,1450,2228,6,87
6043092,14/5/07 15:54,14/11/09 5:00,77,77,295,10,117
6060782,15/5/07 7:04,16/11/09 4:51,2011,2137,2005,10,9
6074112,15/5/07 17:37,23/11/09 4:11,484,238,966,10,58
6084912,16/5/07 6:23,21/11/09 3:22,159,140,4595,11,20
6085542,16/5/07 7:24,25/11/09 5:15,300,853,5556,6,152
6087242,16/5/07 10:28,14/11/09 1:54,386,558,3954,8,44
6092042,16/5/07 17:01,19/11/09 0:43,575,655,10693,5,44
6110252,17/5/07 9:58,13/11/09 9:01,194,859,2855,10,32
6114252,17/5/07 12:10,26/11/09 18:12,562,697,10533,11,73
6116332,17/5/07 13:37,17/11/09 1:32,49,64,533,6,10
6131832,18/5/07 3:18,16/11/09 9:13,551,912,4205,6,155
6136562,18/5/07 7:37,14/11/09 1:23,116,139,1305,4,28
6146792,18/5/07 15:36,15/11/09 15:58,71,25,15354,9,0
6184502,20/5/07 15:39,26/11/09 2:35,289,2099,1842,3,92
6185922,20/5/07 17:54,18/11/09 4:20,166,128,1945,7,72
6194162,21/5/07 3:39,27/11/09 0:54,120,100,2492,9,98
6194832,21/5/07 4:16,25/11/09 9:16,117,116,3235,5,9
6195422,21/5/07 4:51,26/11/09 4:27,80,152,2021,6,37
6197622,21/5/07 7:28,16/11/09 3:02,371,389,10912,7,144
6199742,21/5/07 8:45,21/11/09 0:36,220,459,10923,9,63
6199812,21/5/07 8:46,26/11/09 3:55,38,43,1616,4,8
6211442,21/5/07 18:01,26/11/09 11:16,436,346,6398,11,107
6222252,22/5/07 0:35,22/11/09 8:02,44,62,324,8,74
6226962,22/5/07 4:43,16/11/09 23:33,47,49,66,10,17
6236762,22/5/07 11:11,29/11/09 7:31,266,240,6615,3,97
6245442,22/5/07 16:52,20/11/09 6:52,222,402,8866,9,154
6258452,23/5/07 6:33,25/11/09 6:00,59,100,2525,9,15
6283142,24/5/07 4:15,13/11/09 2:28,121,160,1954,8,9
6300152,24/5/07 20:20,15/11/09 16:58,200,141,223,9,90
6309742,25/5/07 5:22,21/11/09 9:44,26,28,5231,9,38
6318502,25/5/07 10:32,18/11/09 13:41,1401,2166,1102,12,100
6333512,25/5/07 23:31,17/11/09 6:40,42,60,1126,8,28
6349582,26/5/07 16:26,25/11/09 1:49,1999,1367,17335,9,104
